497,0,402,497
389,0,23,389
510,0,965,510
253,2,516,253
346,1,24,346
494,1,461,494
5,1,876,5
66,0,345,66
15,1,960,15
232,1,258,232
26,1,971,26
268,0,996,268
219,2,773,219
316,1,742,316
106,0,226,106
397,0,31,397
495,0,451,495
111,0,231,111
148,0,445,148
203,0,2,203
556,2,935,556
457,1,424,457
150,0,556,150
257,1,283,257
144,0,582,144
293,1,719,293
279,0,384,279
436,1,412,436
502,1,469,502
179,1,608,179
608,2,335,608
205,2,137,205
292,2,299,292
423,1,399,423
35,1,907,35
241,2,310,241
18,1,852,18
398,2,675,398
372,0,6,372
575,2,954,575
496,1,463,496
55,0,616,55
267,1,693,267
607,2,334,607
136,0,256,136
406,0,40,406
59,0,620,59
33,1,978,33
514,1,481,514
581,2,359,581
272,1,410,272
84,2,662,84
43,1,988,43
157,1,174,157
546,0,299,546
89,0,376,89
589,0,469,589
505,1,472,505
243,2,838,243
188,2,242,188
367,2,514,367
415,0,657,415
488,1,655,488
72,2,586,72
343,2,541,343
407,1,388,407
580,2,959,580
533,2,912,533
435,0,956,435
222,1,48,222
303,1,729,303
277,1,703,277
606,2,333,606
40,1,985,40
530,2,692,530
79,0,199,79
93,0,213,93
524,0,345,524
542,2,408,542
221,1,47,221
507,1,474,507
87,0,207,87
591,1,837,591
200,2,132,200
344,0,67,344
105,0,225,105
566,2,945,566
470,1,442,470
73,0,193,73
23,1,785,23
543,2,922,543
347,1,934,347
315,1,741,315
58,1,544,58
83,0,994,83
230,1,796,230
101,2,180,101
499,0,781,499
138,0,258,138
329,1,7,329
403,0,37,403
151,1,580,151
577,0,139,577
337,1,15,337
158,2,798,158
421,1,397,421
350,1,46,350
274,1,700,274
53,0,614,53
76,0,926,76
160,1,589,160
368,1,137,368
234,2,772,234
463,1,430,463
429,1,405,429
340,1,18,340
345,1,23,345
239,2,953,239
50,0,611,50
47,0,608,47
237,1,263,237
412,1,388,412
371,0,5,371
374,0,8,374
27,1,972,27
54,0,615,54
411,1,351,411
284,1,710,284
563,0,778,563
333,2,900,333
424,1,530,424
393,1,369,393
319,1,745,319
96,1,663,96
561,2,961,561
405,0,39,405
212,2,144,212
135,2,525,135
256,1,282,256
31,1,976,31
490,2,691,490
298,1,746,298
190,2,122,190
182,1,611,182
57,0,941,57
573,1,80,573
80,0,641,80
512,2,588,512
354,0,218,354
596,1,417,596
487,2,728,487
128,0,248,128
110,1,236,110
513,1,480,513
528,2,934,528
386,2,776,386
62,0,623,62
498,1,465,498
209,2,141,209
248,1,274,248
430,1,406,430
598,2,304,598
254,2,425,254
382,0,16,382
321,1,747,321
255,1,758,255
585,1,655,585
169,1,598,169
163,1,592,163
338,1,16,338
11,1,845,11
213,2,145,213
175,1,604,175
567,2,946,567
579,2,34,579
466,1,433,466
432,1,408,432
97,0,217,97
317,0,308,317
302,1,728,302
503,1,470,503
468,2,919,468
24,1,126,24
574,2,953,574
271,1,697,271
504,1,471,504
184,2,116,184
201,0,0,201
131,0,243,131
130,0,250,130
81,0,642,81
42,0,603,42
187,2,433,187
492,1,459,492
480,1,447,480
410,0,689,410
438,1,239,438
278,1,704,278
401,0,296,401
360,1,38,360
485,1,710,485
471,1,438,471
473,1,440,473
335,1,13,335
177,1,606,177
391,0,25,391
113,0,233,113
358,0,610,358
420,1,396,420
199,2,131,199
355,2,763,355
568,2,947,568
149,0,587,149
286,1,717,286
36,2,227,36
422,0,323,422
259,1,320,259
194,2,126,194
357,1,35,357
214,2,146,214
140,0,260,140
236,1,262,236
456,1,423,456
439,1,415,439
453,2,205,453
141,2,722,141
611,1,771,611
299,1,725,299
323,1,1,323
45,1,990,45
245,1,271,245
208,0,696,208
32,1,977,32
560,1,767,560
244,2,929,244
600,0,947,600
250,1,276,250
486,0,175,486
251,1,277,251
64,0,343,64
156,1,223,156
414,1,390,414
586,1,656,586
60,1,765,60
595,2,301,595
461,1,101,461
240,1,266,240
134,0,254,134
525,1,388,525
553,2,953,553
285,1,942,285
538,0,938,538
103,0,223,103
376,2,451,376
217,0,669,217
565,2,26,565
304,1,730,304
531,2,931,531
506,0,459,506
266,0,965,266
152,2,304,152
365,1,43,365
594,2,300,594
325,1,140,325
162,0,181,162
520,1,487,520
228,0,175,228
86,2,138,86
153,0,855,153
547,2,947,547
361,1,39,361
52,0,613,52
88,0,999,88
82,2,46,82
539,2,939,539
491,1,458,491
114,0,234,114
70,0,349,70
363,0,845,363
310,1,533,310
308,1,681,308
482,1,449,482
270,2,514,270
71,0,921,71
301,1,727,301
348,0,749,348
475,1,61,475
381,1,885,381
540,0,399,540
352,1,30,352
295,1,721,295
202,2,134,202
493,0,449,493
578,2,957,578
125,0,245,125
122,0,242,122
17,1,851,17
312,1,738,312
455,2,77,455
334,1,12,334
477,1,444,477
30,1,199,30
428,1,404,428
599,2,305,599
247,1,273,247
109,1,357,109
19,1,964,19
465,1,432,465
516,1,483,516
280,1,706,280
223,2,155,223
16,0,386,16
137,0,257,137
605,2,43,605
123,0,243,123
206,2,756,206
67,0,346,67
431,1,407,431
197,2,129,197
226,2,158,226
41,1,986,41
557,2,957,557
419,1,395,419
588,2,584,588
115,0,235,115
434,1,410,434
235,1,261,235
168,1,597,168
195,2,127,195
227,2,180,227
394,1,329,394
159,0,45,159
562,2,962,562
198,2,151,198
341,1,19,341
242,2,763,242
211,0,10,211
508,1,475,508
554,2,933,554
601,2,307,601
92,0,818,92
37,1,982,37
483,1,450,483
181,1,610,181
297,1,802,297
233,1,259,233
90,0,210,90
447,1,423,447
330,1,8,330
231,1,257,231
362,1,40,362
400,2,466,400
85,0,996,85
369,0,3,369
65,0,344,65
